stationName;stationShortCode;stationUICCode;stationFrom;stationTo
Karhejärvi;KRR;1095;Karhejärveltä;Karhejärvelle
Karhukangas;KHG;1097;Karhukankaalta;Karhukankaalle
Karjaa;KR;60;Karjaalta;Karjaalle
Karkku;KRU;178;Karkusta;Karkkuun
Karviainen;KAR;1100;Karviaisista;Karviaisiin
Kaskinen;KSK;267;Kaskisista;Kaskisiin
Kattilaharju;KTH;1319;Kattilaharjusta;Kattilaharjuun
Kauhajoki;KJI;272;Kauhajoelta;Kauhajoelle
Kauhava;KHA;299;Kauhavalta;Kauhavaan
Kauklahti asema;KLH;65;Kauklahdesta;Kauklahteen
Kaulinranta;KLR;790;Kaulinrannasta;Kaulinrantaan
Kauniainen;KNI;67;Kauniaisista;Kauniaisiin
Kauppilanmäki;KPL;423;Kauppilanmäeltä;Kauppilanmäkeen
Kausala;KA;477;Kausalasta;Kausalaan
Keitelepohja;KTP;257;Keitelepohjasta;Keitelepohjaan
Kekomäki;KEK;1101;Kekomäestä;Kekomäelle
Kemi;KEM;347;Kemistä;Kemiin
Kemijärvi;KJÄ;367;Kemijärveltä;Kemijärvelle
Kempele;KML;769;Kempeleeltä;Kempeleelle
Kera;KEA;621;Kerasta;Keraan
Kerava asema;KE;20;Keravalta;Keravaan
Kerimäki;KIÄ;522;Kerimäeltä;Kerimäelle
Kesälahti;KTI;966;Kesälahdesta;Kesälahteen
Keuruu;KEU;235;Keuruulta;Keuruulle
Kiiala;KIA;1113;Kiialasta;Kiialaan
Kilo;KIL;580;Kilosta;Kiloon
Kilpua;KUA;1115;Kilpuasta;Kilpuaan
Kinni;KII;1120;Kinnistä;Kinniin
Kirkkonummi;KKN;63;Kirkkonummelta;Kirkkonummelle
Kirkniemi;KRN;79;Kirkniemestä;Kirkniemeen
Kitee;KIT;453;Kiteeltä;Kiteelle
Kiukainen;KN;169;Kiukaisista;Kiukaisiin
Kiuruvesi;KRV;417;Kiuruvedeltä;Kiuruvedelle
Kivesjärvi;KVJ;378;Kivesjärveltä;Kivesjärvelle
Kivistö;KTÖ;1330;Kivistöstä;Kivistöön
Kohtavaara;KOH;848;Kohtavaarasta;Kohtavaaraan
Koivu;KVU;362;Koivusta;Koivuun
Koivuhovi;KVH;675;Koivuhovista;Koivuhoviin
Koivukylä;KVY;559;Koivukylästä;Koivukylään
Kokemäki;KKI;170;Kokemäeltä;Kokemäelle
Kokkola;KOK;312;Kokkolasta;Kokkolaan
Kolari;KLI;358;Kolarista;Kolariin
Kolho;KLO;199;Kolhosta;Kolhoon
Kommila;KMM;500;Kommilasta;Kommilaan
Kontiolahti;KHI;463;Kontiolahdelta;Kontiolahdelle
Kontiomäki;KON;390;Kontiomäeltä;Kontiomäelle
Koria;KRA;478;Korialta;Korialle
Korkeakoski;KAS;193;Korkeakoskelta;Korkeakoskelle
Korso;KRS;19;Korsosta;Korsoon
Korvensuo;KSU;1128;Korvensuolta;Korvensuolle
Koskenkorva;KOS;274;Koskenkorvasta;Koskenkorvaan
Kotka asema;KTA;532;Kotkasta;Kotkaan
Kotka Hovinsaari;HOS;980;Kotka Hovinsaaresta;Kotka Hovinsaareen
Kotka Mussalo;MSS;557;Kotka Mussalosta;Kotka Mussaloon
Kotkan satama;KTS;644;Kotkan satamasta;Kotkan satamaan
Kotolahti;KOO;1329;Kotolahdesta;Kotolahteen
Kouvola asema;KV;480;Kouvolasta;Kouvolaan
Kouvola lajittelu;KVLA;1132;Kouvola lajittelusta;Kouvola lajitteluun
Kouvola Oikoraide;OIK;1133;Kouvola Oikoraiteelta;Kouvola Oikoraiteelle
Kouvola tavara;KVT;1134;Kouvola tavarasta;Kouvola tavaraan
Kovjoki;KOI;745;Kovjoelta;Kovjoelle
Kruunupyy;KPY;311;Kruunupyystä;Kruunupyyhyn
Kuivasjärvi;KIS;1137;Kuivasjärveltä;Kuivasjärvelle
Kullasvaara;KUV;1320;Kullasvaarasta;Kullasvaaraan
Kuopio asema;KUO;408;Kuopiosta;Kuopioon
Kuopio tavara;KUOT;1139;Kuopio tavarasta;Kuopio tavaraan
Kupittaa;KUT;126;Kupittaalta;Kupittaalle
Kurkimäki;KRM;406;Kurkimäestä;Kurkimäkeen
Kuurila;KU;626;Kuurilasta;Kuurilaan
Kuusankoski;KUK;537;Kuusankoskelta;Kuusankoskelle
Kylänlahti;KYN;937;Kylänlahdesta;Kylänlahteen
Kymi;KY;534;Kymistä;Kymiin
Kyminlinna;KLN;981;Kyminlinnasta;Kyminlinnaan
Kyrö;KÖ;139;Kyröstä;Kyröön
Kytömaa;KYT;1111;Kytömaalta;Kytömaalle
Kälviä;KLV;316;Kälviältä;Kälviälle
Käpylä;KÄP;977;Käpylästä;Käpylään
Köykkäri;KÖK;1144;Köykkäristä;Köykkäriin
Laajavuori;LAV;1341;Laajavuoresta;Laajavuoreen
Lahdenperä;LPR;1149;Lahdenperästä;Lahdenperään
Lahnaslampi;LHN;871;Lahnaslammelta;Lahnaslammelle
Lahti;LH;100;Lahdesta;Lahteen
Laihia;LAI;293;Laihialta;Laihialle
Lakiala;LAK;212;Lakialasta;Lakialaan
Lamminkoski;LMK;1151;Lamminkoskelta;Lamminkoskelle
Lamminniemi;LAM;845;Lamminniemestä;Lamminniemeen
Lapinjärvi;LPJ;108;Lapinjärveltä;Lapinjärvelle
Lapinlahti;LNA;416;Lapinlahdesta;Lapinlahteen
Lappeenranta;LR;495;Lappeenrannasta;Lappeenrantaan
Lappila;LAA;94;Lappilasta;Lappilaan
Lappohja;LPO;75;Lappohjasta;Lappohjaan
Lapua;LPA;298;Lapualta;Lapuaan
Larvakytö;LYÖ;1153;Larvakydöstä;Larvakytöön
Laukaa;LAU;249;Laukaasta;Laukaalle
Laurila;LLA;360;Laurilasta;Laurilaan
Lauritsala;LRS;498;Lauritsalasta;Lauritsalaan
Lautiosaari;LI;829;Lautiosaaresta;Lautiosaareen
Leinelä;LNÄ;1333;Leinelästä;Leinelään
Lelkola;LKL;993;Lelkolasta;Lelkolaan
Lempäälä;LPÄ;156;Lempäälästä;Lempäälään
Lentoasema;LEN;1332;Lentoasemalta;Lentoasemelle
Leppäkoski;LK;43;Leppäkoskelta;Leppäkoskelle
Leppävaara;LPV;68;Leppävaarasta;Leppävaaraan
Leteensuo;LTS;1154;Leteensuolta;Leteensuolle
Lieksa;LIS;468;Lieksasta;Lieksaan
Lielahti;LLH;183;Lielahdesta;Lielahteen
Lievestuore;LVT;246;Lievestuoreelta;Lievestuoreelle
Liminka;LKA;338;Limingasta;Liminkaan
Lohja;LO;81;Lohjalta;Lohjalle
Loimaa;LM;142;Loimaalta;Loimaalle
Louhela;LOH;661;Louhelasta;Louhelaan
Loukolampi;LOL;861;Loukolammelta;Loukolammelle
Loviisan satama;LVS;106;Loviisasta;Loviisaan
Luikonlahti;LUI;411;Luikonlahdesta;Luikonlahteen
Lusto;LUS;690;Lustosta;Lustoon
Luumäki;LÄ;487;Luumäeltä;Luumäelle
Länkipohja;LÄP;203;Länkipohjasta;Länkipohjaan
Maanselkä;MLK;382;Maaselästä;Maaselkään
Maaria;MRI;1166;Maariasta;Maariaan
Madesjärvi;MD;217;Madesjärveltä;Madesjärvelle
Majajärvi;MJJ;1168;Majajärveltä;Majajärvelle
Malmi;ML;17;Malmilta;Malmille
Malminkartano;MLO;659;Malminkartanosta;Malminkartanoon
Mankala;MKA;1336;Mankalasta;Mankalaan
Markkala;MRK;896;Markkalasta;Markkalaan
Martinlaakso;MRL;662;Martinlaaksosta;Martinlaaksoon
Masala;MAS;64;Masalasta;Masalaan
Matkaneva;MTV;1171;Matkanevelta;Matkanevalle
Mattila;MAT;1172;Mattilasta;Mattilaan
Mikkeli;MI;546;Mikkelistä;Mikkeliin
Misi;MIS;366;Misistä;Misiin
Mommila;MLA;93;Mommilasta;Mommilaan
Muhos;MH;375;Muhokselta;Muhokselle
Mukkula;MUK;594;Mukkulasta;Mukkulaan
Murtomäki;MUR;386;Murtomäeltä;Murtomäelle
Mustolan satama;MST;77;Mustolan satamasta;Mustolan satamaan
Muukko;MKO;1180;Muukosta;Muukkoon
Muurame;MUU;433;Muuramesta;Muurameen
Muurola;MUL;363;Muurolasta;Muurolaan
Myllykangas;MYS;1183;Myllykankaalta;Myllykankaalle
Myllykoski;MKI;536;Myllykoskelta;Myllykoskelle
Myllymäki;MY;263;Myllymäeltä;Myllymäkeen
Mynämäki;MYN;123;Mynämäeltä;Mynämäkeen
Myyrmäki;MYR;660;Myyrmäestä;Myyrmäkeen
Mäkkylä;MÄK;693;Mäkkylästä;Mäkkylään
Mäntsälä;MLÄ;27;Mäntsälästä;Mäntsälään
Mänttä;MÄN;198;Mäntästä;Mänttään
Mäntyharju;MR;544;Mäntyharjusta;Mäntyharjuun
Mäntyluoto;MN;223;Mäntyluodolta;Mäntyluotoon
Naantali;NNL;124;Naantalista;Naantaliin
Naarajärvi;NRI;895;Naarajärveltä;Naarajärvelle
Nakkila;NAL;672;Nakkilasta;Nakkilaan
Nastola;NSL;595;Nastolasta;Nastolaan
Niemenpää;NMP;1185;Niemenpäästä;Niemenpäähän
Niinimäki;NMÄ;1324;Niinimäeltä;Niinimäelle
Niinisalo;NNS;227;Niinisalosta;Niinisaloon
Niirala;NRL;446;Niiralasta;Niiralaan
Niirala-raja;NRLR;445;Niirala-rajalta;Niirala-rajalle
Niittylahti;NTH;917;Niittylahdesta;Niittylahteen
Nikkilä;NLÄ;22;Nikkilästä;Nikkilään
Nivala;NVL;328;Nivalasta;Nivalaan
Nokia;NOA;181;Nokialta;Nokialle
Nummela;NM;84;Nummelasta;Nummelaan
Nurmes;NRM;472;Nurmeksesta;Nurmekseen
Oitti;OI;92;Oitista;Oittiin
Orivesi;OV;190;Orivedeltä;Orivedelle
Orivesi keskusta;OVK;1316;Orivesi kekuksesta;Orivesi keskukseen
Otanmäki;OTM;385;Otanmäestä;Otanmäelle
Otava;OT;545;Otavasta;Otavaan
Oulainen;OU;322;Oulaisista;Oulaisiin
Oulu asema;OL;370;Oulusta;Ouluun
Oulu Nokela;NOK;1195;Oulu Nokelasta;Oulu Nokelaan
Oulu Oritkari;ORI;1196;Oulu Oritkarista;Oulu Oritkariin
Oulu tavara;OLT;1197;Oulu tavarasta;Oulu tavaraan
Oulu Tuira;TUA;339;Oulu Tuirasta;Oulu Tuiraan
Oulunkylä;OLK;15;Oulunkylästä;Oulunkylään
Paimenportti;PTI;768;Paimenportista;Paimenporttiin
Paimio;PO;128;Paimiosta;Paimioon
Palopuro;PLP;562;Palopurosta;Palopuroon
Paltamo;PTO;379;Paltamosta;Paltamoon
Pankakoski;PAS;935;Pankakoskelta;Pankakoskelle
Parikkala;PAR;510;Parikkalasta;Parikkalaan
Parkano;PKO;215;Parkanosta;Parkanoon
Parola;PRL;49;Parolasta;Parolaan
Pasila asema;PSL;10;Pasilasta;Pasilaan
Pasila autojuna-asema;PAU;1328;Pasila autojuna-asemalta;Pasila autojuna-asemalle
Pasila tavara;PSLT;1034;Pasila tavarasta;Pasila tavaraan
Patokangas;PTG;1346;Patokankaalta;Patokankaalle
Pelkola;PA;1055;Pelkolasta;Pelkolaan
Pello;PEL;356;Pellosta;Pelloon
Peräseinäjoki;PSJ;687;Peräseinäjoelta;Peräseinäjoelle
Pesiökylä;PSK;393;Pesiökylästä;Pesiökylään
Petäjävesi;PVI;237;Petäjävedeltä;Petäjävedelle
Pieksämäki asema;PM;400;Pieksämäeltä;Pieksämäkeen
Pieksämäki lajittelu;PMLA;1210;Pieksämäki lajittelusta;Pieksämäki lajitteluun
Pieksämäki tavara;PMT;1211;Pieksämäki tavarasta;Pieksämäki tavaraan
Pieksämäki Temu;TMU;1212;Pieksämäki Temusta;Pieksämäki Temuun
Pietarsaari;PTS;306;Pietarsaaresta;Pietarsaareen
Pihlajavesi;PH;261;Pihlajavedeltä;Pihjalavedelle
Piikkiö;PIK;127;Piikkiöstä;Piikkiöön
Pikkarala;PKL;819;Pirkkalasta;Pirkkalaan
Pitäjänmäki;PJM;69;Pitäjänmäeltä;Pitäjänmäelle
Pohjankuru;PKU;59;Pohjankurusta;Pohjankuruun
Pohjois-Haaga;POH;657;Pohjois-Haagasta;Pohjois-Haagaan
Pohjois-Louko;PLU;1214;Pohjois-Loukosta;Pohjois-Loukoon
Poikkeus;PKK;1216;Poikkeuksesta;Poikkeukseen
Pori;PRI;220;Porista;Poriin
Porvoo;PRV;23;Porvoosta;Porvooseen
Puhos;PUS;919;Puhokselta;Puhokselle
Puistola;PLA;553;Puistolasta;Puistolaan
Pukinmäki;PMK;551;Pukinmäestä;Pukinmäkeen
Pulsa;PL;1217;Pulsasta;Pulsaan
Punkaharju;PUN;517;Punkaharjulta;Punkaharjulle
Purola;PUR;564;Purolasta;Purolaan
Pyhäkumpu;PYK;757;Pyhäkummusta;Pyhäkumpuun
Pyhäkumpu erkanemisvaihde;PYE;1218;Pyhäkumpu erkanemisvaihteelta;Pyhäkumpu erkanemisvaihteelle
Pyhäsalmi;PHÄ;331;Pyhäsalmesta;Pyhäsalmeen
Pännäinen;PNÄ;305;Pännäisistä;Pännäisiin
Pääskylahti;PKY;519;Pääskylahdesta;Pääskylahteen
Raahe;RHE;335;Raahesta;Raaheen
Raippo;RPO;490;Raiposta;Raippoon
Raisio;RAI;125;Raisiosta;Raisioon
Rajamäki;RM;88;Rajamäeltä;Rajamäelle
Rajaperkiö;RJP;1220;Rajaperkiöstä;Rajaperkiöön
Rantasalmi;RMI;524;Rantasalmelta;Rantasalmelle
Rasinsuo;RAS;1222;Rasinsuolta;Rasinsuolle
Ratikylä;RLÄ;596;Ratikylästä;Ratikylään
Rauha;RAH;501;Rauhasta;Rauhaan
Rauma;RMA;165;Raumalta;Raumalle
Raunio;RIO;1227;Rauniosta;Raunioon
Rautaruukki;RAT;750;Rautaruukista;Rautaruukkiin
Rautjärvi;RJÄ;506;Raujärveltä;Rautjärvelle
Rekola;RKL;554;Rekolasta;Rekolaan
Retretti;REE;793;Retretistä;Retrettiin
Riihimäki Arolampi;ARP;1235;Riihimäki Arolammelta;Riihimäki Arolammelle
Riihimäki asema;RI;40;Riihimäeltä;Riihimäelle
Riihimäki lajittelu;RILA;1238;Riihimäki lajittelusta;Riihimäki lajitteluun
Riihimäki tavara;RIT;1240;Riihimäki tavarasta;Riihimäki tavaraan
Riijärvi;RJR;1327;Riijärveltä;Riijärvelle
Riippa;RPA;747;Riipasta;Riippaan
Ristiina;RST;770;Ristiinasta;Ristiinaan
Ristijärvi;RJV;391;Ristijärveltä;Ristijärvelle
Rovaniemi;ROI;364;Rovaniemeltä;Rovaniemelle
Ruha;RHA;742;Ruhasta;Ruhaan
Runni;RNN;886;Runnista;Runniin
Ruokosuo;RSU;1342;Ruokosuolta;Ruokosuolle
Ruukki;RKI;337;Ruukista;Ruukkiin
Ruusumäki;RSM;1338;Ruusumäeltä;Ruusumäelle
Ryttylä;RY;42;Ryttylästä;Ryttylään
Röyttä;RÖY;833;Röytästä;Röyttään
Saakoski;SAA;668;Saakoskelta;Saakoskelle
