stationName;stationShortCode;stationUICCode;stationFrom;stationTo
Vuohijärvi;VHJ;541;Vuohijärveltä;Vuohijärveen
Vuojoki;VJO;1310;Vuojoelta;Vuojoelle
Vuokatti;VKT;383;Vuokatista;Vuokattiin
Vuonislahti;VSL;467;Vuonislahdelta;Vuonislahdelle
Vuonos;VNS;863;Vuonoksesta;Vuonokseen
Vuosaari;VSA;1321;Vuosaaresta;Vuosaareen
Ykspihlaja tavara;YKST;315;Ykspihlaja tavarasta;Ykspihlaja tavaraan
Ykspihlaja väliratapiha;YKSV;1326;Ykspihlaja väliratapihalta;Ykspihlaja väliratapihalle
Ylistaro;YST;296;Ylistarosta;Ylistaroon
Ylitornio;YTR;789;Ylitorniolta;Ylitornioon
Ylivalli;YLV;654;Ylivallista;Ylivalliin
Ylivieska;YV;320;Ylivieskasta;Ylivieskaan
Yläkoski;YLK;867;Yläkoskelta;Yläkoskelle
Ylämylly;YLY;913;Ylämyllyltä;Ylämyllylle
Ylöjärvi;YLÖ;211;Ylöjärveltä;Ylöjärvelle
Ypykkävaara;YPY;940;Ypykkävaarasta;Ypykkävaaraan
Äetsä;ÄS;174;Äetsästä;Äetsään
Ähtäri;ÄHT;265;Ähtäristä;Ähtäriin
Ämmänsaari;ÄM;394;Ämmänsaaresta;Ämmänsaareen
Äänekoski;ÄKI;252;Äänekoskelta;Äänekoskelle
