stationFIN;stationENG
Seinäjoelle;to Seinäjoki asema
Seinäjoki tavaraan;to Seinäjoki tavara
Selänpäähän;to Selänpää
Sieppijärvelle;to Sieppijärvi
Sieviin;to Sievi
Siikamäelle;to Siikamäki
Siilinjärvelle;to Siilinjärvi Asema
Simoon;to Simo
Simpeleelle;to Simpele
Sipilään;to Sipilä
Sisättöön;to Sisättö
Siuntioon;to Siuntio
Siuroon;to Siuro
Skogbyhyn;to Skogby
Sköldvikiin;to Sköldvik
Sukevalle;to Sukeva
Suolahteen;to Suolahti
Suonenjoelle;to Suonenjoki
Suoniemeen;to Suoniemi
Syrjään;to Syrjä
Syrjämäkeen;to Syrjämäki
Sysmäjärvelle;to Sysmäjärvi
Säkäniemeen;to Säkäniemi
Sääksjärvelle;to Sääksjärvi
Taavettiin;to Taavetti
Tahkoluotoon;to Tahkoluoto
Taipaleelle;to Taipale
Talviaisiin;to Talviainen
Talvivaaraan;to Talvivaara
Tammisaareen;to Tammisaari
Tampereelle;to Tampere asema
Tampere Järvensivuun;to Tampere Järvensivu
Tampere tavaraan;to Tampere tavara
Tampere Viinikkaan;to Tampere Viinikka
Tapanilaan;to Tapanila
Tapavainolaan;to Tapavainola
Tavastilaan;to Tavastila
Tervajoelle;to Tervajoki
Tervolaan;to Tervola
Teuvaan;to Teuva
Tikkalaan;to Tikkala
Tikkaperään;to Tikkaperä
Tikkurilaan;to Tikkurila asema
Tohmajärvelle;to Tohmajärvi
Toijalaan;to Toijala
Toivalaan;to Toivala
Tolsaan;to Tolsa
Tommolaan;to Tommola
Torkkeliin;to Torkkeli
Tornioon;to Tornio asema
Tornio-Itäiseen;to Tornio-Itäinen
Tornio-rajalle;to Tornio-raja
Tuomarilaan;to Tuomarila
Tuomiojalle;to Tuomioja
Turenkiin;to Turenki
Turkuun;to Turku asema
Turku satamaan;to Turku satama
Turku tavaraan;to Turku tavara
Tuupovaaraan;to Tuupovaara
Tuuriin;to Tuuri
Törmään;to Törmä
Törölään;to Törölä
Uimaharjuun;to Uimaharju
Urjalaan;to Urjala
Utajärvelle;to Utajärvi
Uusikaupunkiin;to Uusikaupunki
Uusikylään;to Uusikylä
Vaajakoskelle;to Vaajakoski
Vaalaan;to Vaala
Vaasaan;to Vaasa
Vahojärvelle;to Vahojärvi
Vainikkalaan;to Vainikkala asema
Vainikkala tavaraan;to Vainikkala tavara
Vainikkala-rajalle;to Vainikkala-raja
Valimoon;to Valimo
Valkeakoskelle;to Valkeakoski
Valtimoon;to Valtimo
Vammalaan;to Vammala
Vanattaraan;to Vanattara
Vantaankoskelle;to Vantaankoski
Varkauteen;to Varkaus
Vartiukseen;to Vartius
Vartius-rajalle;to Vartius-raja
Vasikkahakaan;to Vasikkahaka
Vaskiluotoon;to Vaskiluoto
Vehkalaan;to Vehkala
Venetmäkeen;to Venetmäki
Vesankaan;to Vesanka
Vierumäelle;to Vierumäki
Vihantiin;to Vihanti
Vihtariin;to Vihtari
Viialaan;to Viiala
Viinijärvelle;to Viinijärvi
Villähteelle;to Villähde
Vilppulaan;to Vilppula
Vinnilään;to Vinnilä
Virkamieheen;to Virkamies
Volttiin;to Voltti
Vuohijärveen;to Vuohijärvi
Vuojoelle;to Vuojoki
Vuokattiin;to Vuokatti
Vuonislahdelle;to Vuonislahti
Vuonokseen;to Vuonos
Vuosaareen;to Vuosaari
Ykspihlaja tavaraan;to Ykspihlaja tavara
Ykspihlaja väliratapihalle;to Ykspihlaja väliratapiha
Ylistaroon;to Ylistaro
Ylitornioon;to Ylitornio
Ylivalliin;to Ylivalli
Ylivieskaan;to Ylivieska
Yläkoskelle;to Yläkoski
Ylämyllylle;to Ylämylly
Ylöjärvelle;to Ylöjärvi
Ypykkävaaraan;to Ypykkävaara
Äetsään;to Äetsä
Ähtäriin;to Ähtäri
Ämmänsaareen;to Ämmänsaari
Äänekoskelle;to Äänekoski
